Origin,Origin Code,Destination,Destination Code,Requirement
Afghanistan,AFG,Afghanistan,AFG,N/A
Afghanistan,AFG,Albania,ALB,eVisa
Afghanistan,AFG,Algeria,DZA,Visa Required
Afghanistan,AFG,American Samoa,ASM,Visa Required
Afghanistan,AFG,Andorra,AND,Visa Required
Afghanistan,AFG,Angola,AGO,Visa Required
Afghanistan,AFG,Anguilla,AIA,Visa Required
Afghanistan,AFG,Antigua and Barbuda,ATG,eVisa
Afghanistan,AFG,Argentina,ARG,Visa Required
Afghanistan,AFG,Armenia,ARM,Visa Required
Afghanistan,AFG,Aruba,ABW,Visa Required
Afghanistan,AFG,Australia,AUS,Visa Required
Afghanistan,AFG,Austria,AUT,Visa Required
Afghanistan,AFG,Azerbaijan,AZE,eVisa
Afghanistan,AFG,Bahamas,BHS,Visa Required
Afghanistan,AFG,Bahrain,BHR,Visa Required
Afghanistan,AFG,Bangladesh,BGD,Visa Free
Afghanistan,AFG,Barbados,BRB,Visa Required
Afghanistan,AFG,Belarus,BLR,Visa Required
Afghanistan,AFG,Belgium,BEL,Visa Required
Afghanistan,AFG,Belize,BLZ,Visa Required
Afghanistan,AFG,Benin,BEN,eVisa
Afghanistan,AFG,Bermuda,BMU,Visa Required
Afghanistan,AFG,Bhutan,BTN,Visa Required
Afghanistan,AFG,Bolivia,BOL,Visa Required
Afghanistan,AFG,Bonaire; St. Eustatius and Saba,BES,Visa Required
Afghanistan,AFG,Bosnia and Herzegovina,BIH,Visa Required
Afghanistan,AFG,Botswana,BWA,Visa Required
Afghanistan,AFG,Brazil,BRA,Visa Required
Afghanistan,AFG,British Virgin Islands,VGB,Visa Required
Afghanistan,AFG,Brunei,BRN,Visa Required
Afghanistan,AFG,Bulgaria,BGR,Visa Required
Afghanistan,AFG,Burkina Faso,BFA,Visa Required
Afghanistan,AFG,Burundi,BDI,Visa Free
Afghanistan,AFG,Cambodia,KHM,Visa Free
Afghanistan,AFG,Cameroon,CMR,Visa Required
Afghanistan,AFG,Canada,CAN,Visa Required
Afghanistan,AFG,Cape Verde Islands,CPV,Visa Free
Afghanistan,AFG,Cayman Islands,CYM,Visa Required
Afghanistan,AFG,Central African Republic,CAF,Visa Required
Afghanistan,AFG,Chad,TCD,Visa Required
Afghanistan,AFG,Chile,CHL,Visa Required
Afghanistan,AFG,China,CHN,Visa Required
Afghanistan,AFG,Colombia,COL,eVisa
Afghanistan,AFG,Comoro Islands,COM,Visa Free
Afghanistan,AFG,Congo (Dem. Rep.),COD,Visa Required
Afghanistan,AFG,Congo (Rep.),COG,Visa Required
Afghanistan,AFG,Cook Islands,COK,Visa Free
Afghanistan,AFG,Costa Rica,CRI,Visa Required
Afghanistan,AFG,Cote d'Ivoire,CIV,Visa Required
Afghanistan,AFG,Croatia,HRV,Visa Required
Afghanistan,AFG,Cuba,CUB,Visa Required
Afghanistan,AFG,Curacao,CUW,Visa Required
Afghanistan,AFG,Cyprus,CYP,Visa Required
Afghanistan,AFG,Czechia,CZE,Visa Required
Afghanistan,AFG,Denmark,DNK,Visa Required
Afghanistan,AFG,Djibouti,DJI,Visa Free
Afghanistan,AFG,Dominica,DMA,Visa Free
Afghanistan,AFG,Dominican Republic,DOM,Visa Required
Afghanistan,AFG,Ecuador,ECU,Visa Required
Afghanistan,AFG,Egypt,EGY,Visa Required
Afghanistan,AFG,El Salvador,SLV,Visa Required
Afghanistan,AFG,Equatorial Guinea,GNQ,Visa Required
Afghanistan,AFG,Eritrea,ERI,Visa Required
Afghanistan,AFG,Estonia,EST,Visa Required
Afghanistan,AFG,Ethiopia,ETH,eVisa
Afghanistan,AFG,Falkland Islands,FLK,Visa Required
Afghanistan,AFG,Faroe Islands,FRO,Visa Required
Afghanistan,AFG,Fiji,FJI,Visa Required
Afghanistan,AFG,Finland,FIN,Visa Required
Afghanistan,AFG,France,FRA,Visa Required
Afghanistan,AFG,French Guiana,GUF,Visa Required
Afghanistan,AFG,French Polynesia,PYF,Visa Required
Afghanistan,AFG,French West Indies,GLP,Visa Required
Afghanistan,AFG,Gabon,GAB,eVisa
Afghanistan,AFG,Georgia,GEO,eVisa
Afghanistan,AFG,Germany,DEU,Visa Required
Afghanistan,AFG,Ghana,GHA,Visa Required
Afghanistan,AFG,Gibraltar,GIB,Visa Required
Afghanistan,AFG,Greece,GRC,Visa Required
Afghanistan,AFG,Greenland,GRL,Visa Required
Afghanistan,AFG,Grenada,GRD,Visa Required
Afghanistan,AFG,Guam,GUM,Visa Required
Afghanistan,AFG,Guatemala,GTM,Visa Required
Afghanistan,AFG,Guinea,GIN,eVisa
Afghanistan,AFG,Guinea-Bissau,GNB,Visa Free
Afghanistan,AFG,Guyana,GUY,Visa Required
Afghanistan,AFG,Haiti,HTI,Visa Free
Afghanistan,AFG,Honduras,HND,Visa Required
Afghanistan,AFG,Hong Kong (SAR China),HKG,Visa Required
Afghanistan,AFG,Hungary,HUN,Visa Required
Afghanistan,AFG,Iceland,ISL,Visa Required
Afghanistan,AFG,India,IND,eVisa
