Origin,Visa Free,Visa Required
Afghanistan,51,175
Albania,135,91
Algeria,73,153
Andorra,182,44
Angola,71,155
Antigua and Barbuda,166,60
Argentina,182,44
Armenia,83,143
Australia,198,28
Austria,199,27
Azerbaijan,84,142
Bahamas,168,58
Bahrain,102,124
Bangladesh,65,161
Barbados,177,49
Belarus,93,133
Belgium,199,27
Belize,118,108
Benin,84,142
Bhutan,75,151
Bolivia,101,125
Bosnia and Herzegovina,138,88
Botswana,102,124
Brazil,182,44
Brunei,175,51
Bulgaria,189,37
Burkina Faso,82,144
Burundi,71,155
Cambodia,81,145
Cameroon,73,153
Canada,196,30
Cape Verde Islands,87,139
Central African Republic,75,151
Chad,75,152
Chile,189,37
China,100,126
Colombia,153,73
Comoro Islands,75,151
Congo (Dem. Rep.),63,163
Congo (Rep.),71,155
Costa Rica,166,60
Cote d'Ivoire,82,144
Croatia,189,37
Cuba,81,145
Cyprus,190,36
Czech Republic,198,28
Denmark,199,27
Djibouti,72,154
Dominica,163,63
Dominican Republic,92,134
Ecuador,112,114
Egypt,75,151
El Salvador,150,76
Equatorial Guinea,75,151
Eritrea,68,158
Estonia,196,30
Ethiopia,68,158
Fiji,109,117
Finland,199,27
France,198,28
Gabon,80,146
Georgia,130,96
Germany,199,27
Ghana,83,143
Greece,198,28
Grenada,162,64
Guatemala,152,74
Guinea,81,145
Guinea-Bissau,76,150
Guyana,105,121
Haiti,72,154
Honduras,150,76
Hong Kong (SAR China),182,44
Hungary,198,28
Iceland,194,32
India,84,142
Indonesia,94,132
Iran,64,162
Iraq,51,175
Ireland,199,27
Israel,171,55
Italy,199,27
Jamaica,106,120
Japan,198,28
Jordan,76,150
Kazakhstan,91,135
Kenya,94,132
Kiribati,143,83
Kosovo,63,163
Kuwait,111,115
Kyrgyzstan,82,144
Laos,74,152
Latvia,196,30
Lebanon,62,164
Lesotho,95,131
Liberia,73,153
Libya,62,164
Liechtenstein,192,34
Lithuania,196,30
Luxembourg,199,27
Macao (SAR China),163,63
Madagascar,78,148
Malawi,92,134
Malaysia,189,37
Maldives,107,119
Mali,76,150
Malta,197,29
Marshall Islands,143,83
Mauritania,80,146
Mauritius,165,61
Mexico,173,53
Micronesia,140,86
Moldova,136,90
Monaco,190,36
Mongolia,86,140
Montenegro,144,82
Morocco,86,140
Mozambique,83,143
Myanmar,73,153
Namibia,98,128
Nauru,109,117
Nepal,67,159
Netherlands,198,28
New Zealand,198,28
Nicaragua,147,79
Niger,78,148
Nigeria,68,158
North Korea,65,161
North Macedonia,143,83
Norway,198,28
Oman,101,125
Pakistan,58,168
Palau Islands,143,83
Palestinian Territory,62,164
Panama,161,65
Papua New Guinea,101,125
Paraguay,157,69
Peru,158,68
Philippines,89,137
Poland,197,29
Portugal,199,27
Qatar,118,108
Romania,189,37
Russian Federation,126,100
Rwanda,78,148
Samoa,150,76
San Marino,182,44
Sao Tome and Principe,81,145
Saudi Arabia,101,125
Senegal,80,146
Serbia,152,74
Seychelles,167,59
Sierra Leone,83,143
Singapore,200,26
Slovakia,196,30
Slovenia,196,30
Solomon Islands,149,77
Somalia,58,168
South Africa,118,108
South Korea,196,30
South Sudan,55,171
Spain,199,27
Sri Lanka,67,159
St. Kitts and Nevis,170,56
St. Lucia,163,63
St. Vincent and the Grenadines,167,59
Sudan,62,164
Suriname,97,129
Sweden,198,28
Switzerland,198,28
Syria,54,172
Taiwan (Chinese Taipei),167,59
Tajikistan,75,151
Tanzania,87,139
Thailand,99,127
The Gambia,89,137
Timor-Leste,122,104
Togo,78,148
Tonga,147,79
Trinidad and Tobago,166,60
Tunisia,90,136
Turkmenistan,72,154
Tuvalu,145,81
Türkiye,122,104
Uganda,85,141
Ukraine,157,69
United Arab Emirates,191,35
United Kingdom,197,29
United States,197,29
Uruguay,172,54
Uzbekistan,78,148
Vanuatu,118,108
Vatican City,168,58
Venezuela,148,78
Vietnam,77,149
Yemen,57,169
Zambia,86,140
Zimbabwe,85,141
eSwatini,93,133
