,Origin,Visa Free,Visa Required
0,Afghanistan,51,175
1,Albania,135,91
2,Algeria,73,153
3,Andorra,182,44
4,Angola,71,155
5,Antigua and Barbuda,166,60
6,Argentina,182,44
7,Armenia,83,143
8,Australia,198,28
9,Austria,199,27
10,Azerbaijan,84,142
11,Bahamas,168,58
12,Bahrain,102,124
13,Bangladesh,65,161
14,Barbados,177,49
15,Belarus,93,133
16,Belgium,199,27
17,Belize,118,108
18,Benin,84,142
19,Bhutan,75,151
20,Bolivia,101,125
21,Bosnia and Herzegovina,138,88
22,Botswana,102,124
23,Brazil,182,44
24,Brunei,175,51
25,Bulgaria,189,37
26,Burkina Faso,82,144
27,Burundi,71,155
28,Cambodia,81,145
29,Cameroon,73,153
30,Canada,196,30
31,Cape Verde Islands,87,139
32,Central African Republic,75,151
33,Chad,75,152
34,Chile,189,37
35,China,100,126
36,Colombia,153,73
37,Comoro Islands,75,151
38,Congo (Dem. Rep.),63,163
39,Congo (Rep.),71,155
40,Costa Rica,166,60
41,Cote d'Ivoire,82,144
42,Croatia,189,37
43,Cuba,81,145
44,Cyprus,190,36
45,Czech Republic,198,28
46,Denmark,199,27
47,Djibouti,72,154
48,Dominica,163,63
49,Dominican Republic,92,134
50,Ecuador,112,114
51,Egypt,75,151
52,El Salvador,150,76
53,Equatorial Guinea,75,151
54,Eritrea,68,158
55,Estonia,196,30
56,Ethiopia,68,158
57,Fiji,109,117
58,Finland,199,27
59,France,198,28
60,Gabon,80,146
61,Georgia,130,96
62,Germany,199,27
63,Ghana,83,143
64,Greece,198,28
65,Grenada,162,64
66,Guatemala,152,74
67,Guinea,81,145
68,Guinea-Bissau,76,150
69,Guyana,105,121
70,Haiti,72,154
71,Honduras,150,76
72,Hong Kong (SAR China),182,44
73,Hungary,198,28
74,Iceland,194,32
75,India,84,142
76,Indonesia,94,132
77,Iran,64,162
78,Iraq,51,175
79,Ireland,199,27
80,Israel,171,55
81,Italy,199,27
82,Jamaica,106,120
83,Japan,198,28
84,Jordan,76,150
85,Kazakhstan,91,135
86,Kenya,94,132
87,Kiribati,143,83
88,Kosovo,63,163
89,Kuwait,111,115
90,Kyrgyzstan,82,144
91,Laos,74,152
92,Latvia,196,30
93,Lebanon,62,164
94,Lesotho,95,131
95,Liberia,73,153
96,Libya,62,164
97,Liechtenstein,192,34
98,Lithuania,196,30
99,Luxembourg,199,27
100,Macao (SAR China),163,63
101,Madagascar,78,148
102,Malawi,92,134
103,Malaysia,189,37
104,Maldives,107,119
105,Mali,76,150
106,Malta,197,29
107,Marshall Islands,143,83
108,Mauritania,80,146
109,Mauritius,165,61
110,Mexico,173,53
111,Micronesia,140,86
112,Moldova,136,90
113,Monaco,190,36
114,Mongolia,86,140
115,Montenegro,144,82
116,Morocco,86,140
117,Mozambique,83,143
118,Myanmar,73,153
119,Namibia,98,128
120,Nauru,109,117
121,Nepal,67,159
122,Netherlands,198,28
123,New Zealand,198,28
124,Nicaragua,147,79
125,Niger,78,148
126,Nigeria,68,158
127,North Korea,65,161
128,North Macedonia,143,83
129,Norway,198,28
130,Oman,101,125
131,Pakistan,58,168
132,Palau Islands,143,83
133,Palestinian Territory,62,164
134,Panama,161,65
135,Papua New Guinea,101,125
136,Paraguay,157,69
137,Peru,158,68
138,Philippines,89,137
139,Poland,197,29
140,Portugal,199,27
141,Qatar,118,108
142,Romania,189,37
143,Russian Federation,126,100
144,Rwanda,78,148
145,Samoa,150,76
146,San Marino,182,44
147,Sao Tome and Principe,81,145
148,Saudi Arabia,101,125
149,Senegal,80,146
150,Serbia,152,74
151,Seychelles,167,59
152,Sierra Leone,83,143
153,Singapore,200,26
154,Slovakia,196,30
155,Slovenia,196,30
156,Solomon Islands,149,77
157,Somalia,58,168
158,South Africa,118,108
159,South Korea,196,30
160,South Sudan,55,171
161,Spain,199,27
162,Sri Lanka,67,159
163,St. Kitts and Nevis,170,56
164,St. Lucia,163,63
165,St. Vincent and the Grenadines,167,59
166,Sudan,62,164
167,Suriname,97,129
168,Sweden,198,28
169,Switzerland,198,28
170,Syria,54,172
171,Taiwan (Chinese Taipei),167,59
172,Tajikistan,75,151
173,Tanzania,87,139
174,Thailand,99,127
175,The Gambia,89,137
176,Timor-Leste,122,104
177,Togo,78,148
178,Tonga,147,79
179,Trinidad and Tobago,166,60
180,Tunisia,90,136
181,Turkmenistan,72,154
182,Tuvalu,145,81
183,Türkiye,122,104
184,Uganda,85,141
185,Ukraine,157,69
186,United Arab Emirates,191,35
187,United Kingdom,197,29
188,United States,197,29
189,Uruguay,172,54
190,Uzbekistan,78,148
191,Vanuatu,118,108
192,Vatican City,168,58
193,Venezuela,148,78
194,Vietnam,77,149
195,Yemen,57,169
196,Zambia,86,140
197,Zimbabwe,85,141
198,eSwatini,93,133
