,Origin,Destination,Requirement
0,Afghanistan,Afghanistan,N/A
1,Afghanistan,Albania,Visa Required
2,Afghanistan,Algeria,Visa Required
3,Afghanistan,American Samoa,Visa Required
4,Afghanistan,Andorra,Visa Required
5,Afghanistan,Angola,Visa Required
6,Afghanistan,Anguilla,Visa Required
7,Afghanistan,Antigua and Barbuda,eVisa
8,Afghanistan,Argentina,Visa Required
9,Afghanistan,Armenia,Visa Required
10,Afghanistan,Aruba,Visa Required
11,Afghanistan,Australia,Visa Required
12,Afghanistan,Austria,Visa Required
13,Afghanistan,Azerbaijan,eVisa
14,Afghanistan,Bahamas,Visa Required
15,Afghanistan,Bahrain,Visa Required
16,Afghanistan,Bangladesh,Visa Free
17,Afghanistan,Barbados,Visa Required
18,Afghanistan,Belarus,Visa Required
19,Afghanistan,Belgium,Visa Required
20,Afghanistan,Belize,Visa Required
21,Afghanistan,Benin,eVisa
22,Afghanistan,Bermuda,Visa Required
23,Afghanistan,Bhutan,Visa Required
24,Afghanistan,Bolivia,Visa Required
25,Afghanistan,Bonaire; St. Eustatius and Saba,Visa Required
26,Afghanistan,Bosnia and Herzegovina,Visa Required
27,Afghanistan,Botswana,Visa Required
28,Afghanistan,Brazil,Visa Required
29,Afghanistan,British Virgin Islands,Visa Required
30,Afghanistan,Brunei,Visa Required
31,Afghanistan,Bulgaria,Visa Required
32,Afghanistan,Burkina Faso,Visa Required
33,Afghanistan,Burundi,Visa Free
34,Afghanistan,Cambodia,Visa Free
35,Afghanistan,Cameroon,Visa Required
36,Afghanistan,Canada,Visa Required
37,Afghanistan,Cape Verde Islands,Visa Free
38,Afghanistan,Cayman Islands,Visa Required
39,Afghanistan,Central African Republic,Visa Required
40,Afghanistan,Chad,Visa Required
41,Afghanistan,Chile,Visa Required
42,Afghanistan,China,Visa Required
43,Afghanistan,Colombia,eVisa
44,Afghanistan,Comoro Islands,Visa Free
45,Afghanistan,Congo (Dem. Rep.),Visa Required
46,Afghanistan,Congo (Rep.),Visa Required
47,Afghanistan,Cook Islands,Visa Free
48,Afghanistan,Costa Rica,Visa Required
49,Afghanistan,Cote d'Ivoire,Visa Required
50,Afghanistan,Croatia,Visa Required
51,Afghanistan,Cuba,Visa Required
52,Afghanistan,Curacao,Visa Required
53,Afghanistan,Cyprus,Visa Required
54,Afghanistan,Czech Republic,Visa Required
55,Afghanistan,Denmark,Visa Required
56,Afghanistan,Djibouti,eVisa
57,Afghanistan,Dominica,Visa Free
58,Afghanistan,Dominican Republic,Visa Required
59,Afghanistan,Ecuador,Visa Required
60,Afghanistan,Egypt,Visa Required
61,Afghanistan,El Salvador,Visa Required
62,Afghanistan,Equatorial Guinea,Visa Required
63,Afghanistan,Eritrea,Visa Required
64,Afghanistan,Estonia,Visa Required
65,Afghanistan,Ethiopia,eVisa
66,Afghanistan,Falkland Islands,Visa Required
67,Afghanistan,Faroe Islands,Visa Required
68,Afghanistan,Fiji,Visa Required
69,Afghanistan,Finland,Visa Required
70,Afghanistan,France,Visa Required
71,Afghanistan,French Guiana,Visa Required
72,Afghanistan,French Polynesia,Visa Required
73,Afghanistan,French West Indies,Visa Required
74,Afghanistan,Gabon,eVisa
75,Afghanistan,Georgia,eVisa
76,Afghanistan,Germany,Visa Required
77,Afghanistan,Ghana,Visa Required
78,Afghanistan,Gibraltar,Visa Required
79,Afghanistan,Greece,Visa Required
80,Afghanistan,Greenland,Visa Required
81,Afghanistan,Grenada,Visa Required
82,Afghanistan,Guam,Visa Required
83,Afghanistan,Guatemala,Visa Required
84,Afghanistan,Guinea,Visa Required
85,Afghanistan,Guinea-Bissau,Visa Free
86,Afghanistan,Guyana,Visa Required
87,Afghanistan,Haiti,Visa Free
